sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level
BOXING,122.63,111.24,163.0,47.75,20.2,171.24,0.7456,0,1,1,0,1
TRACK,101.35,83.72,164.07,108.67,33.97,162.73,0.8175,0,0,1,0,1
VOLLEYBALL,110.05,173.52,145.15,65.96,19.65,169.29,0.8746,0,0,0,0,0
CYCLING,47.81,79.13,117.45,31.0,84.17,130.52,0.3416,1,0,1,1,3
AMERICAN_FOOTBALL,67.33,131.98,120.58,31.72,11.04,164.9,0.6098,1,0,0,0,1
TENNIS,89.79,107.72,155.81,61.44,10.8,170.13,0.8337,0,0,0,0,0
VOLLEYBALL,57.22,103.15,151.24,64.81,61.25,151.52,0.3029,1,1,1,1,3
SOCCER,41.28,58.26,134.85,121.66,53.02,147.03,0.3726,1,1,1,1,3
SOCCER,65.04,80.59,158.33,104.15,57.91,160.74,0.6766,0,1,1,1,2
BADMINTON,125.43,94.0,159.05,71.12,10.4,180.95,0.7368,0,0,0,0,0
SOCCER,86.67,118.14,122.92,74.93,63.01,150.97,0.6313,1,1,0,1,2
GYMNASTICS,73.4,73.1,101.37,98.14,89.94,129.8,0.4015,1,1,1,1,3
HOCKEY,29.94,97.83,88.84,78.05,74.71,139.59,0.3613,1,1,1,1,3
GYMNASTICS,25.83,107.32,140.05,99.02,44.45,132.83,0.254,1,1,1,1,3
VOLLEYBALL,158.53,99.65,141.28,62.27,32.96,162.73,0.7453,0,0,0,0,0
BOXING,93.65,72.98,100.61,22.41,39.27,152.52,0.5816,1,1,0,1,2
AMERICAN_FOOTBALL,155.39,136.56,106.24,92.93,23.9,179.5,0.9511,0,0,0,0,0
SWIMMING,102.34,88.33,165.16,50.41,39.81,169.43,0.7859,1,0,0,0,1
VOLLEYBALL,153.91,111.58,136.62,87.72,20.5,169.25,0.9024,0,0,0,0,0
AMERICAN_FOOTBALL,71.77,95.76,86.14,118.21,19.48,170.86,0.6897,0,1,0,0,1
SOCCER,141.7,102.99,103.32,60.3,15.94,165.29,0.9768,1,0,0,0,0
RUGBY,137.69,96.1,115.1,109.08,13.62,165.71,0.7079,0,0,1,0,1
WRESTLING,66.76,132.98,150.57,44.59,19.99,170.77,0.6052,1,0,0,0,1
TENNIS,40.69,96.92,137.98,154.16,84.99,121.9,0.4062,1,1,1,1,3
GYMNASTICS,151.07,132.18,107.05,52.2,6.68,165.62,0.8332,0,0,0,0,0
GYMNASTICS,78.3,148.11,130.64,63.03,30.18,172.61,0.8078,0,0,0,0,0
CYCLING,87.23,97.42,138.89,22.67,26.3,162.2,0.6246,1,1,0,0,1
BADMINTON,83.23,89.13,125.77,42.57,11.92,163.75,0.7039,0,1,0,1,1
BADMINTON,25.81,78.9,128.31,42.49,44.64,147.34,0.4237,1,1,0,1,3
VOLLEYBALL,64.57,118.86,98.5,21.97,25.98,157.51,0.5244,0,1,1,1,2
SWIMMING,113.44,139.99,114.69,81.29,30.51,164.31,0.8557,0,0,0,0,0
SWIMMING,76.6,150.32,160.91,94.19,24.79,164.97,0.926,0,0,0,0,0
WRESTLING,112.06,136.41,167.29,70.41,21.25,165.57,0.8648,0,1,0,0,0
BOXING,103.98,89.12,82.4,100.14,31.64,149.56,0.4282,1,1,1,1,2
RUGBY,134.13,111.89,136.01,98.78,12.17,167.7,0.7714,0,1,0,0,1
BADMINTON,56.73,89.28,107.77,43.38,56.07,149.36,0.1638,1,1,1,1,3
CRICKET,117.34,96.46,89.15,98.52,40.24,158.23,0.6256,1,1,1,0,2
BOXING,102.37,126.29,117.31,66.67,41.01,158.42,0.4216,0,0,1,1,2
RUGBY,68.23,128.27,80.1,42.68,47.03,152.94,0.5754,1,1,0,1,2
BASEBALL,130.81,136.03,112.8,86.79,25.86,176.48,0.7442,0,0,0,0,0
SWIMMING,145.03,132.91,130.29,23.54,49.05,160.82,0.7901,1,0,1,0,1
BASKETBALL,115.63,173.29,91.48,44.84,26.32,170.48,0.9761,0,0,0,0,0
CYCLING,34.37,86.16,89.61,108.3,52.32,149.01,0.279,1,1,1,1,3
BASEBALL,143.82,151.25,151.79,81.93,6.76,169.76,0.9694,0,0,0,0,0
TENNIS,81.91,74.25,129.07,33.56,54.45,141.78,0.2828,1,0,1,1,3
WRESTLING,131.91,157.76,132.66,58.1,31.12,163.37,0.7379,0,0,0,0,0
HOCKEY,93.09,92.21,88.26,103.18,56.86,163.73,0.6585,0,1,0,1,2
BASEBALL,164.42,125.02,170.4,98.99,35.74,172.31,0.8655,0,0,0,0,0
SOCCER,106.39,170.8,127.9,92.44,34.6,177.12,0.9714,0,0,0,0,0
CRICKET,70.28,94.91,82.15,78.03,62.55,124.43,0.4975,1,1,1,1,3
CYCLING,27.01,106.83,128.31,156.61,56.9,124.43,0.1862,0,1,1,1,3
HOCKEY,125.29,136.82,149.65,64.36,11.83,176.43,0.7251,0,0,0,0,0
AMERICAN_FOOTBALL,81.12,85.23,144.44,39.0,50.54,161.02,0.6674,0,1,1,1,2
TRACK,163.89,105.95,111.0,20.19,5.61,176.54,0.9925,0,0,0,0,0
SOCCER,86.97,71.69,140.12,87.8,48.29,149.73,0.6032,0,0,1,1,2
SOCCER,90.84,90.61,84.66,159.63,88.06,149.05,0.4402,1,1,1,1,3
RUGBY,69.39,52.12,85.49,23.43,43.35,142.99,0.3202,1,1,1,1,3
CRICKET,76.23,65.07,133.75,78.1,66.2,148.61,0.1001,1,1,1,1,3
TRACK,162.28,135.63,142.64,75.64,23.73,171.09,0.9235,0,0,0,0,0
CRICKET,144.31,137.16,168.18,100.17,49.48,158.01,0.6942,0,0,1,1,1
RUGBY,78.78,84.51,95.54,40.25,40.58,156.74,0.624,1,0,1,0,2
GYMNASTICS,137.77,118.88,125.66,82.59,17.17,171.97,0.7271,0,0,0,0,0
VOLLEYBALL,154.46,165.13,122.31,77.15,31.08,167.91,0.903,0,0,0,0,0
OTHER,132.1,72.29,107.98,133.37,56.04,146.49,0.5321,1,1,0,1,2
CRICKET,96.8,87.48,108.05,29.64,45.2,123.34,0.4423,1,1,0,1,3
TRACK,61.64,43.46,107.14,88.92,71.83,123.71,0.158,1,1,1,1,3
WRESTLING,33.29,38.69,137.54,64.86,83.32,126.61,0.4285,1,1,1,1,3
SOCCER,71.34,117.12,80.88,84.3,27.16,155.78,0.4485,1,0,0,1,2
OTHER,117.51,98.39,142.51,37.07,28.93,163.94,0.6016,1,0,0,1,2
BOXING,88.37,57.78,142.78,138.05,78.92,150.95,0.2658,1,1,1,1,3
HOCKEY,89.27,132.54,153.69,81.16,14.85,179.58,0.9483,0,0,0,0,0
BOXING,162.9,157.08,158.3,112.68,43.69,164.1,0.5957,0,1,0,0,1
CYCLING,154.69,108.5,136.64,49.1,2.58,171.58,0.8715,0,0,0,0,0
GYMNASTICS,75.52,83.66,102.49,75.92,21.96,161.7,0.6993,1,1,0,0,1
HOCKEY,131.47,96.31,109.97,104.37,18.84,171.79,0.5927,0,1,0,0,1
OTHER,89.51,93.53,152.23,38.71,17.7,157.95,0.706,0,1,0,0,1
HOCKEY,144.11,99.55,152.66,78.59,11.58,165.17,0.7546,0,1,0,0,1
CRICKET,123.85,98.06,150.12,106.22,43.07,159.02,0.601,1,1,0,0,1
BASEBALL,142.61,131.63,116.57,99.42,50.92,157.38,0.4205,1,1,0,0,2
OTHER,74.51,125.28,125.35,139.67,34.12,160.55,0.6331,1,1,1,1,2
CYCLING,79.56,72.44,150.32,54.85,63.13,135.23,0.1398,1,1,1,1,3
SOCCER,119.86,109.95,139.4,62.26,20.42,171.33,0.8164,0,1,0,0,1
TRACK,118.42,94.45,172.29,83.2,10.08,170.08,0.7777,0,0,0,0,0
CYCLING,99.07,97.72,151.02,72.6,72.68,151.79,0.1461,1,1,1,1,3
WRESTLING,122.76,129.51,127.29,104.16,30.61,172.26,0.7158,0,0,1,0,1
HOCKEY,81.47,68.49,81.06,118.14,50.69,163.95,0.4321,1,1,0,1,2
BASKETBALL,104.36,123.53,129.61,130.1,59.34,158.72,0.6448,1,1,1,1,2
CRICKET,162.91,160.57,106.64,62.96,47.39,162.2,0.7772,0,1,0,0,1
BOXING,76.66,142.15,82.85,66.28,38.52,146.01,0.4225,1,1,1,0,2
SWIMMING,74.94,111.38,113.05,70.63,30.71,158.55,0.6407,1,1,1,0,2
BASKETBALL,97.74,72.09,115.8,126.94,43.1,162.77,0.5655,1,1,0,1,2
VOLLEYBALL,81.76,97.76,106.99,115.95,66.06,145.18,0.4437,1,1,0,1,3
WRESTLING,83.2,72.96,95.95,43.85,72.53,144.41,0.2741,1,1,1,1,3
BOXING,148.61,117.31,130.31,35.49,48.44,156.15,0.6908,1,0,0,1,1
VOLLEYBALL,65.84,107.81,101.79,153.15,88.03,121.5,0.4916,1,1,1,1,3
BADMINTON,163.9,131.19,145.54,97.99,9.91,165.27,0.9601,0,0,0,0,0
TENNIS,83.49,129.08,143.94,112.32,62.51,151.72,0.5519,0,1,0,1,2
SWIMMING,36.64,52.19,135.17,143.31,59.19,124.95,0.1245,1,1,1,1,3
GYMNASTICS,77.13,133.3,164.31,75.01,35.77,172.92,0.7524,0,1,0,0,1
RUGBY,38.45,101.71,130.57,144.26,77.71,149.18,0.3568,1,1,1,1,3
VOLLEYBALL,87.83,91.53,154.59,43.09,32.05,162.59,0.5236,0,1,1,1,2
RUGBY,82.21,132.47,163.48,74.61,36.16,179.47,0.7836,0,0,0,0,0
SOCCER,56.74,73.03,95.99,117.69,31.57,156.62,0.6662,0,1,0,1,2
GYMNASTICS,53.87,88.6,112.09,55.77,44.87,136.38,0.378,1,1,1,0,3
BADMINTON,31.67,83.85,104.09,20.56,72.05,138.58,0.4259,0,1,1,1,3
OTHER,55.94,93.19,122.79,131.32,48.15,135.86,0.3997,1,1,0,1,3
OTHER,95.23,135.15,92.28,120.72,26.36,149.7,0.4867,1,1,0,1,2
GYMNASTICS,115.47,96.73,94.26,62.18,11.85,162.18,0.8479,0,0,0,0,0
CRICKET,104.45,95.67,158.84,94.84,22.64,174.4,0.9333,0,0,0,0,0
HOCKEY,119.28,118.02,149.74,97.87,11.77,157.47,0.5981,0,1,0,0,1
GYMNASTICS,93.92,73.6,91.88,61.28,72.29,131.63,0.1383,1,1,1,1,3
GYMNASTICS,80.27,68.91,169.85,47.37,58.82,146.09,0.4686,1,1,0,0,2
TENNIS,67.07,95.19,130.0,28.23,54.96,126.07,0.4513,1,1,1,1,3
BADMINTON,93.18,107.26,133.11,135.65,56.78,136.55,0.1077,1,1,1,1,3
BADMINTON,84.56,115.01,95.94,26.65,32.73,173.76,0.7559,0,0,0,0,0
VOLLEYBALL,87.0,147.4,139.56,20.5,18.19,161.95,0.6302,0,1,0,0,1
BOXING,136.24,95.38,107.95,99.54,17.43,164.88,0.7056,1,1,0,0,1
WRESTLING,34.09,44.8,78.23,122.94,50.11,124.43,0.1121,1,1,1,1,3
RUGBY,40.71,53.38,76.85,143.65,88.3,133.11,0.5014,1,1,0,1,3
TRACK,79.11,121.51,163.49,70.27,16.65,166.5,0.7949,1,0,0,0,1
CRICKET,158.64,166.95,126.08,97.92,28.35,166.66,0.945,0,0,0,0,0
GYMNASTICS,122.84,136.93,168.69,81.67,47.77,159.58,0.5156,1,1,0,0,2
GYMNASTICS,121.05,147.16,101.64,84.42,4.46,172.82,0.8422,0,0,0,0,0
SOCCER,91.13,46.9,97.81,82.57,44.4,126.07,0.2655,1,1,0,1,3
AMERICAN_FOOTBALL,130.14,85.55,156.06,74.64,63.85,156.51,0.4811,0,0,1,1,2
RUGBY,129.74,75.16,93.38,42.81,64.97,163.55,0.6086,0,1,1,0,2
BASEBALL,128.12,119.04,104.69,27.95,3.12,165.35,0.9192,0,0,0,0,0
BADMINTON,101.46,147.39,172.93,55.29,3.31,165.39,0.8373,0,0,0,0,0
SWIMMING,85.09,74.8,100.63,91.8,41.63,163.2,0.459,0,1,1,1,2
WRESTLING,85.22,160.04,93.37,61.85,15.5,163.83,0.9965,0,0,0,0,0
TENNIS,82.17,97.08,140.0,112.47,39.02,158.52,0.7988,1,0,1,0,1
AMERICAN_FOOTBALL,75.59,65.44,97.53,129.8,75.2,141.14,0.3983,1,1,1,1,3
CRICKET,124.87,126.3,105.25,98.96,27.15,159.24,0.6743,1,1,0,0,1
BADMINTON,23.71,72.43,146.56,148.71,87.08,142.99,0.138,1,1,1,1,3
BOXING,126.4,111.75,108.73,85.17,17.27,165.41,0.6002,0,1,1,0,1
RUGBY,75.66,132.93,169.17,69.78,4.08,162.4,0.8269,0,0,0,0,0
SOCCER,126.84,98.27,103.47,33.13,11.69,180.61,0.8903,0,0,1,0,0
SWIMMING,83.36,141.38,166.52,45.7,21.95,167.72,0.6196,0,1,0,0,1
WRESTLING,103.64,97.36,167.98,25.45,1.28,176.62,0.7058,0,0,1,0,0
BADMINTON,103.69,95.3,102.37,97.51,45.27,161.64,0.7997,1,0,0,1,1
RUGBY,114.9,74.76,167.92,47.87,47.98,156.43,0.5217,1,1,0,1,2
WRESTLING,142.84,103.89,162.61,109.87,38.14,173.96,0.7668,0,1,0,0,1
BASKETBALL,67.8,65.81,135.76,53.21,63.27,126.32,0.3005,0,1,1,1,3
TRACK,76.49,60.86,92.82,22.45,43.12,145.44,0.2579,1,1,1,1,3
BASKETBALL,145.27,131.29,111.89,37.46,22.76,155.51,0.7583,0,0,1,0,1
GYMNASTICS,78.72,78.75,102.76,87.2,27.09,157.43,0.4265,1,1,0,0,2
SWIMMING,92.86,153.34,94.6,42.65,42.79,164.4,0.7429,0,1,0,0,1
WRESTLING,134.99,152.96,154.33,21.76,30.63,167.5,0.92,0,0,0,0,0
SWIMMING,103.31,163.34,132.11,23.82,25.26,174.93,0.9437,0,0,0,0,0
OTHER,88.27,122.92,158.79,44.47,23.91,162.8,0.9092,0,0,0,0,0
TENNIS,91.8,90.48,77.55,48.78,82.96,149.84,0.122,1,1,0,1,3
TENNIS,98.2,87.57,134.23,56.36,33.62,151.2,0.4325,0,1,1,1,2
CYCLING,109.9,124.31,146.23,28.74,18.68,173.07,0.6197,1,0,0,1,1
HOCKEY,99.1,97.61,146.83,62.25,41.24,152.52,0.5346,1,1,1,1,2
BASEBALL,76.94,74.79,106.14,103.54,44.5,158.75,0.6658,0,0,1,1,2
WRESTLING,125.8,137.82,98.47,135.89,49.73,150.89,0.5248,0,1,0,1,2
VOLLEYBALL,80.41,56.76,138.18,69.99,41.04,127.98,0.4543,1,1,1,1,3
HOCKEY,138.34,66.39,87.41,73.07,44.28,147.45,0.6284,1,1,1,1,2
BASKETBALL,103.46,122.85,113.76,50.57,35.66,151.08,0.519,1,1,0,0,2
BASEBALL,104.99,111.8,171.72,52.62,2.79,162.11,0.8341,0,0,0,0,0
WRESTLING,161.37,102.53,151.8,53.14,36.3,161.07,0.6989,1,0,0,0,1
TRACK,67.45,125.04,100.47,116.21,18.25,161.61,0.6765,0,0,0,1,1
BADMINTON,64.35,38.24,136.78,56.83,53.2,134.02,0.4397,0,1,1,1,3
VOLLEYBALL,87.71,97.31,98.85,62.82,56.63,153.83,0.5011,0,1,1,1,2
TRACK,78.12,70.54,161.78,67.94,25.71,157.4,0.5263,1,1,0,0,2
AMERICAN_FOOTBALL,153.12,115.19,108.32,65.29,11.14,168.72,0.8009,0,1,0,1,1
AMERICAN_FOOTBALL,71.14,119.57,145.78,136.74,29.01,151.21,0.4261,1,0,0,1,2
OTHER,130.65,113.36,97.59,93.11,18.52,164.78,0.6018,1,0,0,1,1
BASKETBALL,87.55,86.96,90.89,128.18,86.85,121.54,0.3712,1,1,1,1,3
TENNIS,95.6,56.97,93.52,151.87,47.57,144.2,0.446,1,1,1,1,3
OTHER,60.13,54.65,88.07,148.23,59.24,123.74,0.2394,1,0,1,1,3
HOCKEY,95.72,139.73,152.59,30.34,24.28,159.72,0.5886,1,1,0,0,1
CRICKET,162.25,150.95,103.47,94.62,17.08,174.18,0.7755,0,1,0,1,1
CYCLING,100.88,133.22,108.31,103.71,45.36,173.06,0.6608,1,1,0,0,1
WRESTLING,138.5,119.2,104.24,119.13,16.63,155.97,0.703,1,0,1,0,1
AMERICAN_FOOTBALL,87.15,79.22,114.18,83.27,82.95,151.09,0.1579,1,0,1,1,3
CRICKET,108.58,113.36,116.98,32.53,12.45,172.65,0.6122,0,0,1,0,1
BASEBALL,100.93,170.76,170.13,98.87,35.4,169.09,0.8436,0,0,0,0,0
TENNIS,139.01,116.12,147.24,94.37,7.55,171.43,0.7382,0,0,0,1,0
HOCKEY,139.52,160.9,89.08,34.25,24.11,168.99,0.7579,1,1,0,0,1
RUGBY,121.83,92.53,88.0,40.41,10.09,170.68,0.6016,0,1,0,0,1
SOCCER,83.25,75.39,132.58,30.44,38.71,163.88,0.5432,1,1,0,1,2
RUGBY,66.64,38.57,92.24,85.61,87.06,151.24,0.4102,1,1,1,1,3
WRESTLING,118.59,120.79,167.6,95.96,31.87,174.83,0.864,1,0,0,0,0
WRESTLING,148.71,98.08,161.44,71.33,16.84,169.27,0.6783,0,1,0,0,1
VOLLEYBALL,115.11,96.95,148.09,94.56,46.11,157.62,0.533,1,1,1,0,2
GYMNASTICS,169.14,114.91,148.39,47.14,10.61,171.76,0.806,0,0,0,0,0
CYCLING,78.04,107.06,125.67,44.0,30.21,156.05,0.6235,1,1,1,0,2
BADMINTON,102.7,91.44,128.25,38.8,35.35,169.26,0.8126,0,0,0,1,1
BASEBALL,133.7,92.2,153.25,57.52,25.62,168.59,0.9562,0,0,0,0,0
SWIMMING,105.15,133.28,80.71,38.47,27.24,163.61,0.4915,0,1,1,0,2
SOCCER,136.62,148.97,108.51,36.53,34.54,157.75,0.7391,0,1,0,0,1
TENNIS,52.79,48.99,107.0,84.13,52.83,149.05,0.4155,1,1,1,1,3
OTHER,126.31,163.86,120.52,60.65,38.85,164.68,0.7934,0,0,1,1,1
SWIMMING,106.8,131.48,95.06,76.01,39.25,173.24,0.5898,1,0,0,0,1
TENNIS,91.84,98.16,79.72,109.09,74.88,136.43,0.3675,1,1,1,1,3
SOCCER,142.74,102.86,110.39,60.69,52.95,145.25,0.6748,1,0,1,1,2
RUGBY,89.3,48.41,135.19,84.01,77.62,145.6,0.1548,1,1,1,1,3
HOCKEY,147.57,106.23,107.04,44.25,45.94,156.73,0.7791,0,1,0,0,1
CYCLING,90.37,92.57,154.37,29.97,23.84,166.39,0.7691,1,0,0,0,1
BASEBALL,22.02,66.37,115.91,53.33,82.39,130.44,0.1133,1,1,1,1,3
RUGBY,56.74,106.67,102.32,126.15,83.33,133.16,0.4181,1,1,1,1,3
CYCLING,96.58,74.02,110.31,93.57,42.86,151.05,0.4266,1,1,0,1,3
TRACK,121.95,119.69,170.75,42.52,22.92,159.68,0.8045,0,1,0,0,1
BADMINTON,127.94,155.95,173.3,47.53,17.11,167.68,0.9329,0,0,0,0,0
TENNIS,94.32,144.76,117.27,121.53,56.6,160.82,0.4624,0,1,1,0,2
WRESTLING,164.44,141.69,113.8,39.81,10.81,164.87,0.5958,0,1,0,0,1
CYCLING,85.65,83.32,153.56,36.4,27.28,161.43,0.445,0,1,0,1,2
WRESTLING,34.61,93.07,111.32,31.42,76.3,140.26,0.3831,1,1,1,1,3
SOCCER,64.52,75.14,160.99,41.56,43.55,163.72,0.6766,1,1,0,0,2
BASEBALL,102.72,125.67,122.07,66.98,29.36,156.42,0.6142,1,0,0,1,1
OTHER,104.54,151.28,93.33,56.5,15.38,175.12,0.8676,0,0,0,0,0
AMERICAN_FOOTBALL,96.31,94.54,134.43,33.93,31.41,163.86,0.5999,0,1,0,0,1
VOLLEYBALL,34.28,40.02,87.41,144.78,66.26,137.94,0.1145,1,1,1,0,3
WRESTLING,142.02,138.94,104.75,97.08,37.75,168.14,0.7839,1,0,1,0,1
SWIMMING,82.29,162.58,170.39,105.97,26.82,163.79,0.7454,0,1,0,0,1
TENNIS,152.62,106.46,154.82,90.52,22.97,176.1,0.9879,0,0,0,0,0
HOCKEY,160.17,109.88,118.24,34.31,24.83,174.15,0.735,1,0,0,0,0
CYCLING,153.1,135.51,146.11,42.6,16.68,175.21,0.7751,0,0,0,0,0
SOCCER,105.06,156.39,105.96,50.85,15.79,158.64,0.7539,1,0,0,1,1
RUGBY,104.68,73.17,160.39,22.87,53.14,157.51,0.4787,0,1,1,1,2
WRESTLING,75.01,90.34,168.19,105.97,36.88,146.23,0.431,1,1,1,0,2
TRACK,81.63,96.52,84.39,123.6,63.16,149.94,0.3401,1,1,1,1,3
AMERICAN_FOOTBALL,138.82,95.27,143.78,64.57,9.16,181.69,0.8878,0,0,0,0,0
BADMINTON,98.53,62.01,105.66,97.06,75.13,129.96,0.3259,0,1,1,1,3
BADMINTON,100.36,116.51,132.33,51.34,9.46,174.26,0.8519,0,0,0,0,0
AMERICAN_FOOTBALL,151.96,99.59,94.39,29.21,4.43,171.25,0.9723,0,0,1,0,0
SOCCER,138.72,102.95,128.18,28.76,37.71,168.43,0.633,0,0,1,1,1
OTHER,72.88,78.97,151.01,159.14,72.0,150.02,0.4853,1,1,1,0,3
TRACK,162.29,101.65,120.82,80.72,34.5,169.63,0.9738,0,0,0,0,0
BASEBALL,73.24,96.1,119.01,111.69,72.23,135.7,0.1084,1,1,1,1,3
GYMNASTICS,148.67,160.71,142.6,50.94,27.63,165.88,0.8184,0,0,0,0,0
BADMINTON,51.49,36.44,108.26,107.3,80.18,122.34,0.383,0,1,1,1,3
AMERICAN_FOOTBALL,106.65,116.28,137.27,26.29,30.05,164.16,0.5021,1,0,1,0,2
HOCKEY,23.12,102.4,107.81,151.27,55.44,132.35,0.1269,0,1,1,1,3
BADMINTON,167.54,123.72,121.2,71.8,16.0,168.45,0.9416,0,0,0,0,0
TENNIS,93.44,92.56,137.72,134.64,43.44,150.61,0.3593,1,1,0,1,3
TRACK,35.43,82.63,131.25,64.48,84.59,135.02,0.4718,1,1,1,1,3
